mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
sync,100453,66,8,39,0.07125401496887207,0.00860872957855463,0.07093580812215805,0.008579639717936516,0.07188007235527039,0.008980149403214455
sync,104317,69,8,50,0.08385997265577316,0.013601553626358509,0.08671184629201889,0.01449311338365078,0.11047082394361496,0.021986285224556923
sync,108180,72,0,50,0.057701438665390015,0.006982859689742327,0.05703779682517052,0.006885298062115908,0.11684756726026535,0.03538035228848457
sync,112044,74,0,50,0.10357141494750977,0.018954936414957047,0.1020561084151268,0.018405083566904068,0.1051749736070633,0.01893448643386364
sync,115908,77,0,50,0.1421268731355667,0.041353560984134674,0.13992144167423248,0.03985641524195671,0.2296975553035736,0.10542288422584534
sync,119771,79,0,50,0.06899914890527725,0.008935132995247841,0.07177732139825821,0.009268718771636486,0.09346703439950943,0.01677221804857254
sync,108180,72,4,50,0.0883510485291481,0.010894400998950005,0.08429406583309174,0.009843575768172741,0.10892099887132645,0.03369879722595215
sync,112044,74,4,50,0.06704353541135788,0.005979595240205526,0.06401409208774567,0.005521011538803577,0.06514538079500198,0.006768240127712488
sync,115908,77,4,50,0.14131656289100647,0.04992568865418434,0.1437378078699112,0.04933794587850571,0.19950483739376068,0.06835218518972397
sync,119771,79,4,50,0.05898670107126236,0.005718521773815155,0.0636838749051094,0.0065344455651938915,0.08872439712285995,0.014469838701188564
sync,108180,72,8,50,0.06913302838802338,0.008067923597991467,0.06570011377334595,0.007387977559119463,0.06944934278726578,0.00935995951294899
sync,112044,74,8,50,0.06236965209245682,0.006026737857609987,0.060887787491083145,0.005752493627369404,0.06307905167341232,0.006932276301085949
sync,115908,77,8,50,0.10923217982053757,0.022663664072752,0.1105034202337265,0.022313294932246208,0.11603698879480362,0.02794015407562256
sync,119771,79,8,50,0.09065113216638565,0.013622802682220936,0.0946122407913208,0.01521612610667944,0.11606550961732864,0.023727845400571823
sync,123635,82,0,50,0.08462206274271011,0.011747351847589016,0.09804428368806839,0.015684664249420166,0.09570080041885376,0.018514184281229973
sync,127499,84,0,1,0.03816763684153557,0.0031088257674127817,0.03816763684153557,0.0031088257674127817,0.03816763684153557,0.0031088257674127817
sync,123635,82,4,50,0.11380277574062347,0.023947831243276596,0.10319707542657852,0.01811489462852478,0.11029678583145142,0.020617961883544922
sync,127499,84,4,0,nan,nan,nan,nan,nan,nan
sync,123635,82,8,50,0.06582667678594589,0.006651872303336859,0.07589799910783768,0.0083751967176795,0.1055530458688736,0.02077249251306057
sync,127499,84,8,0,nan,nan,nan,nan,nan,nan
